Calendar Year,Fiscal Year,Month,Repatriations:Title 42 Expulsions,Repatriations:Administrative Returns,Repatriations:Enforcement Returns,Repatriations:Removals,Repatriations:Total,Southwest Border Book-outs/OFO:Other outcomes,Southwest Border Book-outs/OFO:OFO Paroles,Southwest Border Book-outs/OFO:Transfers to HHS,Southwest Border Book-outs/OFO:Transfers to ICE,Southwest Border Book-outs/OFO:Migrant Protection Protocols,Southwest Border Book-outs/OFO:T42 expulsions,Southwest Border Book-outs/OFO:T8 repatriations,Southwest Border Book-outs/OFO:Total,Southwest Border Book-outs/USBP:Other outcomes,Southwest Border Book-outs/USBP:USBP Releases,Southwest Border Book-outs/USBP:Transfers to HHS,Southwest Border Book-outs/USBP:Transfers to ICE,Southwest Border Book-outs/USBP:Migrant Protection Protocols,Southwest Border Book-outs/USBP:T42 expulsions,Southwest Border Book-outs/USBP:T8 repatriations,Southwest Border Book-outs/USBP:Total,Southwest Border Book-outs/CBP:Other outcomes,Southwest Border Book-outs/CBP:OFO Paroles,Southwest Border Book-outs/CBP:USBP Releases,Southwest Border Book-outs/CBP:Transfers to HHS,Southwest Border Book-outs/CBP:Transfers to ICE,Southwest Border Book-outs/CBP:Migrant Protection Protocols,Southwest Border Book-outs/CBP:T42 expulsions,Southwest Border Book-outs/CBP:T8 repatriations,Southwest Border Book-outs/CBP:Total
2013,2014,0,X,45670,117890,404700,568250,130,25500,3140,22280,X,X,39630,90680,2760,6520,53610,199020,X,X,217460,479370,2890,25500,6520,56760,221300,X,X,257090,570050
2013,2014,10,X,3510,9890,37370,50770,10,2020,140,1210,X,X,3140,6520,200,180,2660,12680,X,X,19590,35310,220,2020,180,2790,13900,X,X,22730,41840
2013,2014,11,X,2930,9140,31940,44010,10,2120,210,1490,X,X,2970,6800,200,130,3020,11720,X,X,16840,31900,210,2120,130,3220,13210,X,X,19800,38690
2013,2014,12,X,3020,8870,29350,41240,10,2140,210,1610,X,X,3210,7180,190,200,3300,11890,X,X,13950,29530,200,2140,200,3510,13500,X,X,17170,36710
2014,2014,1,X,3550,8750,30070,42370,10,1880,160,1070,X,X,3410,6530,190,170,2530,10000,X,X,15780,28670,200,1880,170,2700,11070,X,X,19190,35200
2014,2014,2,X,3910,8140,33560,45610,10,1680,200,1150,X,X,3040,6070,270,190,3520,13720,X,X,18700,36400,280,1680,190,3720,14870,X,X,21740,42470
2014,2014,3,X,4190,10780,39460,54430,10,2020,280,1880,X,X,3750,7950,290,450,5410,19220,X,X,24230,49600,310,2020,450,5690,21110,X,X,27980,57550
2014,2014,4,X,6750,9910,39640,56300,20,1950,360,1850,X,X,3720,7880,300,320,6000,21070,X,X,23820,51500,310,1950,320,6350,22910,X,X,27540,59380
2014,2014,5,X,4320,11890,37490,53700,10,2270,490,2180,X,X,3400,8350,300,1460,9210,27960,X,X,21760,60680,300,2270,1460,9710,30140,X,X,25160,69030
2014,2014,6,X,3520,12930,30260,46710,10,2230,500,2760,X,X,3210,8710,160,2150,9620,28950,X,X,16970,57860,180,2230,2150,10120,31710,X,X,20180,66570
2014,2014,7,X,3560,10610,34930,49100,20,2240,280,2410,X,X,3180,8130,190,820,4560,19510,X,X,15640,40710,210,2240,820,4830,21920,X,X,18820,48830
2014,2014,8,X,2850,9350,31820,44010,10,2480,180,2300,X,X,3430,8380,220,290,2210,13170,X,X,15500,31390,230,2480,290,2380,15470,X,X,18920,39770
2014,2014,9,X,3570,7630,28810,40010,10,2470,150,2380,X,X,3180,8180,260,180,1580,9130,X,X,14690,25830,260,2470,180,1730,11510,X,X,17860,34010
2014,2015,0,X,43240,86330,323670,453240,120,41300,3300,32970,X,X,35850,113520,2730,2680,29980,119490,X,X,176460,331330,2840,41300,2680,33280,152450,X,X,212310,444860
2014,2015,10,X,4070,8470,33510,46050,10,2420,180,3240,X,X,3610,9450,270,130,1630,8960,X,X,15470,26450,270,2420,130,1810,12200,X,X,19080,35900
2014,2015,11,X,3180,7510,26300,36980,10,2590,170,2560,X,X,3060,8380,280,130,1750,8640,X,X,13840,24640,290,2590,130,1920,11200,X,X,16900,33020
2014,2015,12,X,3840,7350,25340,36520,0,3340,250,2750,X,X,2870,9210,260,140,2080,9510,X,X,13030,25020,260,3340,140,2330,12260,X,X,15900,34230
2015,2015,1,X,3870,6660,25200,35740,10,3180,160,2560,X,X,2770,8670,200,200,1320,6470,X,X,13320,21510,210,3180,200,1480,9030,X,X,16080,30180
2015,2015,2,X,3870,6010,24550,34440,10,2570,190,2750,X,X,2660,8180,210,220,1600,7180,X,X,15160,24380,220,2570,220,1790,9930,X,X,17820,32550
2015,2015,3,X,3850,7200,28580,39640,10,3320,240,2740,X,X,3070,9370,290,220,2150,8790,X,X,18340,29790,300,3320,220,2390,11530,X,X,21400,39160
2015,2015,4,X,3700,6840,28790,39330,10,3210,250,2200,X,X,2880,8550,190,270,2440,10240,X,X,16610,29750,200,3210,270,2690,12440,X,X,19500,38300
2015,2015,5,X,3730,7140,28200,39070,10,3400,260,2520,X,X,2920,9110,200,220,3060,12100,X,X,16000,31580,200,3400,220,3320,14620,X,X,18920,40680
2015,2015,6,X,2900,6880,26930,36710,20,3400,330,2720,X,X,2850,9320,180,230,3090,11800,X,X,14000,29300,190,3400,230,3420,14520,X,X,16850,38620
2015,2015,7,X,3130,7560,26960,37650,20,4170,380,2610,X,X,3050,10220,220,350,3410,11730,X,X,12680,28390,230,4170,350,3780,14340,X,X,15730,38610
2015,2015,8,X,2980,7750,24650,35380,10,5410,450,3150,X,X,3160,12180,230,310,3760,12220,X,X,13710,30240,240,5410,310,4220,15370,X,X,16870,42420
2015,2015,9,X,4140,6970,24650,35750,10,4300,450,3170,X,X,2950,10890,210,250,3680,11850,X,X,14300,30290,220,4300,250,4130,15020,X,X,17260,41170
2015,2016,0,X,30340,76110,331540,437990,180,53600,6290,56060,X,X,33990,150120,2430,3810,48470,171400,X,X,182760,408870,2620,53600,3810,54760,227460,X,X,216750,558990
2015,2016,10,X,3690,6170,29620,39480,10,6220,440,3220,X,X,2630,12520,250,240,4020,13070,X,X,15140,32720,260,6220,240,4470,16290,X,X,17770,45250
2015,2016,11,X,2440,5980,25850,34270,10,5640,350,4130,X,X,2430,12550,220,210,4690,13950,X,X,13760,32840,230,5640,210,5040,18080,X,X,16190,45390
2015,2016,12,X,2900,6640,26450,35990,10,3550,270,5030,X,X,2520,11380,210,340,5890,17640,X,X,12940,37010,220,3550,340,6160,22680,X,X,15460,48390
2016,2016,1,X,3050,6440,23670,33160,10,3730,100,3010,X,X,2790,9640,150,220,2290,8510,X,X,12590,23760,170,3730,220,2390,11520,X,X,15380,33400
2016,2016,2,X,2860,5950,24920,33730,10,6060,90,3150,X,X,2680,12000,180,220,2200,8650,X,X,14820,26070,200,6060,220,2290,11800,X,X,17500,38070
2016,2016,3,X,2580,6440,29790,38810,20,5400,140,3810,X,X,3100,12460,220,250,3120,10990,X,X,18740,33320,240,5400,250,3260,14800,X,X,21850,45780
2016,2016,4,X,2420,6340,31490,40240,20,3000,140,3980,X,X,3050,10180,280,260,4060,14070,X,X,19420,38090,300,3000,260,4210,18040,X,X,22470,48270
2016,2016,5,X,2410,6300,31780,40490,20,6230,250,5330,X,X,2830,14650,180,350,4590,16920,X,X,18300,40340,200,6230,350,4840,22250,X,X,21120,54990
2016,2016,6,X,2460,6390,29260,38110,20,2600,770,4590,X,X,2740,10720,200,310,3870,15040,X,X,15030,34450,220,2600,310,4640,19630,X,X,17780,45170
2016,2016,7,X,2030,6240,25670,33940,20,3400,1020,5630,X,X,2870,12940,190,470,4220,16040,X,X,12810,33720,200,3400,470,5240,21670,X,X,15670,46660
2016,2016,8,X,2510,6770,27380,36660,20,3620,1240,6820,X,X,2830,14520,160,380,4830,17820,X,X,13850,37050,180,3620,380,6070,24630,X,X,16680,51570
2016,2016,9,X,990,6460,25650,33110,30,4160,1470,7370,X,X,3540,16570,190,570,4700,18690,X,X,15360,39500,210,4160,570,6170,26060,X,X,18890,56070
2016,2017,0,X,15070,85620,286660,387340,310,29810,6520,38410,X,X,36230,111280,1840,1710,33130,146430,X,X,120810,303920,2150,29810,1710,39650,184840,X,X,157040,415200
2016,2017,10,X,1480,8200,32050,41730,10,5230,1740,7830,X,X,5720,20520,190,390,5550,22630,X,X,17430,46180,200,5230,390,7290,30460,X,X,23140,66710
2016,2017,11,X,1290,7090,30660,39030,20,4400,1370,6680,X,X,3680,16160,130,340,6450,25570,X,X,14730,47210,150,4400,340,7820,32250,X,X,18410,63370
2016,2017,12,X,1130,6790,26430,34350,30,6210,900,5000,X,X,3030,15170,190,320,6470,25610,X,X,10660,43250,220,6210,320,7360,30610,X,X,13700,58420
