Fiscal Year,Month Grouping,Month (abbv),Land Border Region,State,Demographic,Citizenship,Title of Authority,Encounter Count
2021,FYTD,OCT,Northern Land Border,ID,Single Adults,EL SALVADOR,Title 8,1
2021,FYTD,OCT,Northern Land Border,ID,Single Adults,OTHER,Title 8,1
2021,FYTD,OCT,Northern Land Border,ME,Accompanied Minors,CANADA,Title 42,4
2021,FYTD,OCT,Northern Land Border,ME,Accompanied Minors,OTHER,Title 42,2
2021,FYTD,OCT,Northern Land Border,ME,Accompanied Minors,PHILIPPINES,Title 42,2
2021,FYTD,OCT,Northern Land Border,ME,FMUA,CANADA,Title 8,4
2021,FYTD,OCT,Northern Land Border,ME,Single Adults,BRAZIL,Title 8,4
2021,FYTD,OCT,Northern Land Border,ME,Single Adults,CANADA,Title 42,15
2021,FYTD,OCT,Northern Land Border,ME,Single Adults,CANADA,Title 8,690
2021,FYTD,OCT,Northern Land Border,ME,Single Adults,INDIA,Title 42,2
2021,FYTD,OCT,Northern Land Border,ME,Single Adults,OTHER,Title 42,14
2021,FYTD,OCT,Northern Land Border,ME,Single Adults,OTHER,Title 8,4
2021,FYTD,OCT,Northern Land Border,ME,Single Adults,PHILIPPINES,Title 42,3
2021,FYTD,OCT,Northern Land Border,ME,Single Adults,PHILIPPINES,Title 8,6
2021,FYTD,OCT,Northern Land Border,ME,UC / Single Minors,BRAZIL,Title 8,2
2021,FYTD,OCT,Northern Land Border,ME,UC / Single Minors,OTHER,Title 42,1
2021,FYTD,OCT,Northern Land Border,MI,Accompanied Minors,CANADA,Title 42,1
2021,FYTD,OCT,Northern Land Border,MI,Accompanied Minors,"CHINA, PEOPLES REPUBLIC OF",Title 42,1
2021,FYTD,OCT,Northern Land Border,MI,FMUA,CANADA,Title 8,11
2021,FYTD,OCT,Northern Land Border,MI,FMUA,"CHINA, PEOPLES REPUBLIC OF",Title 8,1
2021,FYTD,OCT,Northern Land Border,MI,Single Adults,CANADA,Title 42,18
2021,FYTD,OCT,Northern Land Border,MI,Single Adults,CANADA,Title 8,94
2021,FYTD,OCT,Northern Land Border,MI,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 42,2
2021,FYTD,OCT,Northern Land Border,MI,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,1
2021,FYTD,OCT,Northern Land Border,MI,Single Adults,EL SALVADOR,Title 8,1
2021,FYTD,OCT,Northern Land Border,MI,Single Adults,HONDURAS,Title 8,2
2021,FYTD,OCT,Northern Land Border,MI,Single Adults,INDIA,Title 8,12
2021,FYTD,OCT,Northern Land Border,MI,Single Adults,MEXICO,Title 8,4
2021,FYTD,OCT,Northern Land Border,MI,Single Adults,OTHER,Title 42,5
2021,FYTD,OCT,Northern Land Border,MI,Single Adults,OTHER,Title 8,17
2021,FYTD,OCT,Northern Land Border,MI,Single Adults,PHILIPPINES,Title 42,1
2021,FYTD,OCT,Northern Land Border,MI,Single Adults,PHILIPPINES,Title 8,8
2021,FYTD,OCT,Northern Land Border,MI,Single Adults,ROMANIA,Title 8,3
2021,FYTD,OCT,Northern Land Border,MI,UC / Single Minors,CANADA,Title 42,2
2021,FYTD,OCT,Northern Land Border,MI,UC / Single Minors,CANADA,Title 8,1
2021,FYTD,OCT,Northern Land Border,MN,Single Adults,OTHER,Title 8,1
2021,FYTD,OCT,Northern Land Border,MT,Accompanied Minors,CANADA,Title 42,1
2021,FYTD,OCT,Northern Land Border,MT,Accompanied Minors,MEXICO,Title 42,1
2021,FYTD,OCT,Northern Land Border,MT,Accompanied Minors,OTHER,Title 42,1
2021,FYTD,OCT,Northern Land Border,MT,Single Adults,CANADA,Title 42,2
2021,FYTD,OCT,Northern Land Border,MT,Single Adults,CANADA,Title 8,13
2021,FYTD,OCT,Northern Land Border,MT,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 42,2
2021,FYTD,OCT,Northern Land Border,MT,Single Adults,INDIA,Title 42,17
2021,FYTD,OCT,Northern Land Border,MT,Single Adults,INDIA,Title 8,1
2021,FYTD,OCT,Northern Land Border,MT,Single Adults,MEXICO,Title 42,1
2021,FYTD,OCT,Northern Land Border,MT,Single Adults,OTHER,Title 42,11
2021,FYTD,OCT,Northern Land Border,MT,Single Adults,PHILIPPINES,Title 42,1
2021,FYTD,OCT,Northern Land Border,ND,Accompanied Minors,OTHER,Title 42,3
2021,FYTD,OCT,Northern Land Border,ND,Single Adults,CANADA,Title 42,2
2021,FYTD,OCT,Northern Land Border,ND,Single Adults,CANADA,Title 8,5
2021,FYTD,OCT,Northern Land Border,ND,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 42,1
2021,FYTD,OCT,Northern Land Border,ND,Single Adults,INDIA,Title 42,8
2021,FYTD,OCT,Northern Land Border,ND,Single Adults,INDIA,Title 8,1
2021,FYTD,OCT,Northern Land Border,ND,Single Adults,MEXICO,Title 42,1
2021,FYTD,OCT,Northern Land Border,ND,Single Adults,OTHER,Title 42,6
2021,FYTD,OCT,Northern Land Border,ND,Single Adults,OTHER,Title 8,1
2021,FYTD,OCT,Northern Land Border,ND,Single Adults,PHILIPPINES,Title 42,1
2021,FYTD,OCT,Northern Land Border,NY,Accompanied Minors,CANADA,Title 42,3
2021,FYTD,OCT,Northern Land Border,NY,Accompanied Minors,INDIA,Title 42,1
2021,FYTD,OCT,Northern Land Border,NY,Accompanied Minors,OTHER,Title 42,4
2021,FYTD,OCT,Northern Land Border,NY,Accompanied Minors,OTHER,Title 8,1
2021,FYTD,OCT,Northern Land Border,NY,FMUA,CANADA,Title 8,6
2021,FYTD,OCT,Northern Land Border,NY,FMUA,HAITI,Title 8,3
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,BRAZIL,Title 42,2
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,BRAZIL,Title 8,1
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,CANADA,Title 42,27
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,CANADA,Title 8,189
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 42,22
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,2
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,COLOMBIA,Title 42,8
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,COLOMBIA,Title 8,2
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,CUBA,Title 42,1
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,CUBA,Title 8,1
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,ECUADOR,Title 8,1
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,EL SALVADOR,Title 8,2
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,GUATEMALA,Title 42,2
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,GUATEMALA,Title 8,10
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,HAITI,Title 42,7
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,HAITI,Title 8,2
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,HONDURAS,Title 8,5
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,INDIA,Title 42,63
2021,FYTD,OCT,Northern Land Border,NY,Single Adults,INDIA,Title 8,5
