Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count
2019,FYTD,AUG,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,0.0
2019,FYTD,DEC,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,9584.0
2021,FYTD,SEP,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,1108.0
2021,FYTD,SEP,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,14.0
2019,FYTD,JUN,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,87.0
2019,FYTD,OCT,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,121.0
2019,FYTD,SEP,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,1693.0
2021,FYTD,AUG,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1580.0
2020,FYTD,MAY,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,8.0
2019,FYTD,FEB,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,71.0
2020,FYTD,MAY,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,7.0
2019,FYTD,JUN,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,9.0
2019,FYTD,JUL,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,49.0
2021,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Honduras,Title 42,Expulsions,221.0
2019,FYTD,NOV,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,3175.0
2019,FYTD,AUG,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,30.0
2020,FYTD,JUL,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,98.0
2020,FYTD,JAN,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,2532.0
2020,FYTD,APR,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,264.0
2021,FYTD,DEC,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,53.0
2021,FYTD,MAR,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,327.0
2020,FYTD,MAR,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,265.0
2021,FYTD,MAR,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,9769.0
2021,FYTD,JUN,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,1972.0
2019,FYTD,SEP,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,1089.0
2019,FYTD,JAN,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,1870.0
2019,FYTD,NOV,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,12306.0
2020,FYTD,MAY,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,2.0
2021,FYTD,APR,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,180.0
2019,FYTD,MAR,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,21.0
2019,FYTD,OCT,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,2631.0
2021,FYTD,OCT,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,3.0
2021,FYTD,APR,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,1979.0
2019,FYTD,SEP,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,2177.0
2021,FYTD,MAR,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,31.0
2021,FYTD,NOV,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,412.0
2020,FYTD,MAR,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,15.0
2020,FYTD,AUG,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,39.0
2019,FYTD,AUG,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,3075.0
2021,FYTD,OCT,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,5.0
2019,FYTD,NOV,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,2.0
2021,FYTD,MAR,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,6790.0
2019,FYTD,JAN,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,8845.0
2021,FYTD,JUN,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,21512.0
2021,FYTD,MAY,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,2365.0
2019,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,565.0
2021,FYTD,SEP,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,3071.0
2021,FYTD,AUG,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,1343.0
2021,FYTD,OCT,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,211.0
2021,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,943.0
2019,FYTD,MAR,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,348.0
2020,FYTD,JUN,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,1.0
2020,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,20.0
2020,FYTD,APR,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,12.0
2020,FYTD,SEP,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,256.0
2020,FYTD,JUL,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,211.0
2019,FYTD,DEC,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,1028.0
2019,FYTD,JAN,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,3463.0
2020,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,33.0
2020,FYTD,OCT,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,56.0
2021,FYTD,DEC,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,19.0
2020,FYTD,MAY,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,15.0
2021,FYTD,JAN,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,28.0
2020,FYTD,MAY,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,1.0
2020,FYTD,JUL,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,40.0
2019,FYTD,DEC,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,452.0
2020,FYTD,SEP,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,10.0
2019,FYTD,FEB,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,1.0
2021,FYTD,OCT,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,4.0
2019,FYTD,NOV,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,2730.0
2021,FYTD,NOV,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,4.0
2021,FYTD,MAY,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,3801.0
2020,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1065.0
