Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count
2022,FYTD,OCT,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,1
2022,FYTD,OCT,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,3
2022,FYTD,OCT,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,1
2022,FYTD,OCT,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,112
2022,FYTD,OCT,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,66
2022,FYTD,OCT,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,2
2022,FYTD,OCT,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,2
2022,FYTD,OCT,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,12
2022,FYTD,OCT,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,14
2022,FYTD,OCT,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,34
2022,FYTD,OCT,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,162
2022,FYTD,OCT,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,1020
2022,FYTD,OCT,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,14
2022,FYTD,OCT,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,7
2022,FYTD,OCT,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,19
2022,FYTD,OCT,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,18
2022,FYTD,OCT,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,17
2022,FYTD,OCT,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,24
2022,FYTD,OCT,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1631
2022,FYTD,OCT,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,1068
2022,FYTD,OCT,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,37
2022,FYTD,OCT,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,1302
2022,FYTD,OCT,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,8
2022,FYTD,OCT,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,19
2022,FYTD,OCT,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,6
2022,FYTD,OCT,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,112
