Year,Month,Count
2019,1,1511
2019,2,1710
2019,3,3154
2019,4,2473
2019,5,1982
2019,6,1798
2019,7,1157
2019,8,1362
2019,9,1211
2019,10,2328
2019,11,1670
2019,12,1883
2020,1,5235
2020,2,2768
2020,3,4062
2020,4,2381
2020,5,3568
2020,6,5268
2020,7,3474
2020,8,2793
2020,9,4884
2020,10,3511
2020,11,5011
2020,12,2902
2021,1,4420
2021,2,3862
2021,3,3872
2021,4,2203
2021,5,5344
2021,6,1966
2021,7,2307
2021,8,2699
2021,9,2877
2021,10,2866
2021,11,4805
2021,12,3375
2022,1,3475
2022,2,2993
2022,3,6438
2022,4,3529
2022,5,4111
2022,6,4770
2022,7,3984
2022,8,2666
2022,9,13036
2022,10,11254
2022,11,10207
2022,12,8589
2023,1,9357
2023,2,31831
2023,3,13732
2023,4,5309
2023,5,6291
2023,6,6395
2023,7,7281
2023,8,7082
2023,9,5424
2023,10,6767
2023,11,7275
2023,12,7666
2024,1,2973
2024,2,1896
