Source name,Recipient,Election,State,Receipt date,Amount
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,SAVE AMERICA,PRIMARY,NY,02/19/2021,"$36,810,811.75"
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE - UNITEMIZED,SAVE AMERICA,PRIMARY,NY,02/19/2021,"$26,654,964.12"
TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,SAVE AMERICA,PRIMARY,VA,12/15/2021,"$22,944,467.68"
SAVE AMERICA JOINT FUNDRAISING COMMITTEE - UNITEMIZED,SAVE AMERICA,,VA,12/15/2021,"$16,576,096.16"
SAVE AMERICA JOINT FUNDRAISING COMMITTEE - UNITEMIZED,SAVE AMERICA,PRIMARY,VA,06/30/2022,"$6,123,171.85"
TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,SAVE AMERICA,PRIMARY,VA,06/30/2022,"$5,578,436.18"
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,SAVE AMERICA,PRIMARY,NY,03/05/2021,"$5,192,501.24"
TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,SAVE AMERICA,PRIMARY,VA,03/31/2022,"$5,130,459.73"
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,SAVE AMERICA,PRIMARY,NY,03/31/2021,"$4,989,793.45"
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE - UNITEMIZED,SAVE AMERICA,PRIMARY,NY,03/05/2021,"$4,680,486.42"
TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,SAVE AMERICA,PRIMARY,VA,01/31/2022,"$4,116,277.44"
SAVE AMERICA JOINT FUNDRAISING COMMITTEE - UNITEMIZED,SAVE AMERICA,PRIMARY,VA,06/30/2022,"$3,954,384.75"
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE - UNITEMIZED,SAVE AMERICA,PRIMARY,NY,03/31/2021,"$3,753,547.79"
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,SAVE AMERICA,PRIMARY,NY,06/30/2021,"$3,543,940.04"
TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,SAVE AMERICA,PRIMARY,VA,02/28/2022,"$3,513,705.15"
TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,SAVE AMERICA,PRIMARY,VA,06/30/2021,"$3,368,595.51"
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,SAVE AMERICA,PRIMARY,NY,05/28/2021,"$3,311,112.94"
TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,SAVE AMERICA,PRIMARY,VA,06/30/2022,"$3,205,934.19"
SAVE AMERICA JOINT FUNDRAISING COMMITTEE - UNITEMIZED,SAVE AMERICA,PRIMARY,VA,02/28/2022,"$3,147,256.36"
SAVE AMERICA JOINT FUNDRAISING COMMITTEE - UNITEMIZED,SAVE AMERICA,PRIMARY,VA,02/28/2022,"$3,102,429.16"
TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,SAVE AMERICA,PRIMARY,VA,01/31/2022,"$2,910,492.74"
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE - UNITEMIZED,SAVE AMERICA,PRIMARY,NY,05/28/2021,"$2,788,391.26"
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE - UNITEMIZED,SAVE AMERICA,PRIMARY,NY,06/30/2021,"$2,782,308.88"
TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,SAVE AMERICA,PRIMARY,VA,04/19/2021,"$2,456,844.22"
TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,SAVE AMERICA,PRIMARY,VA,05/28/2021,"$2,049,918.42"
SAVE AMERICA JOINT FUNDRAISING COMMITTEE - UNITEMIZED,SAVE AMERICA,PRIMARY,VA,04/19/2021,"$1,744,725.11"
TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,SAVE AMERICA,PRIMARY,VA,12/31/2022,"$1,561,119.97"
SAVE AMERICA JOINT FUNDRAISING COMMITTEE - UNITEMIZED,SAVE AMERICA,PRIMARY,VA,05/28/2021,"$1,299,527.20"
SAVE AMERICA JOINT FUNDRAISING COMMITTEE - UNITEMIZED,SAVE AMERICA,PRIMARY,VA,06/30/2021,"$832,642.54"
