source,target,value,cycle
DONOR CONTRIBUTIONS,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,151325986,2022
DONOR CONTRIBUTIONS,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,129020950,2024
TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,SAVE AMERICA,53925758.49,2022
TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,MAKE AMERICA GREAT AGAIN PAC,5554687.77,2022
TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",3817780.66,2022
TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",72007996.4,2024
TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,SAVE AMERICA,8864398.59,2024
DONOR CONTRIBUTIONS,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,29340023,2022
CASH ON HAND FROM 2020 DONORS,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,59876405,2022
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,SAVE AMERICA,53848159.42,2022
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,MAKE AMERICA GREAT AGAIN PAC,5800133.9399999995,2022
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,MAKE AMERICA GREAT AGAIN PAC,2624404.29,2022
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,SAVE AMERICA,1022982.15,2024
"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",LEGAL FEES,4598734.550000001,2024
DONOR CONTRIBUTIONS,SAVE AMERICA,1176252,2022
SAVE AMERICA,LEGAL FEES,16708721.85,2022
SAVE AMERICA,LEGAL FEES,47298633.279999994,2024
SAVE AMERICA,MAKE AMERICA GREAT AGAIN INC.,60004750.0,2022
SAVE AMERICA,MAKE AMERICA GREAT AGAIN PAC,11750000.0,2024
MAKE AMERICA GREAT AGAIN PAC,LEGAL FEES,15661508.08,2022
MAKE AMERICA GREAT AGAIN PAC,LEGAL FEES,3915674.2199999997,2024
MAKE AMERICA GREAT AGAIN INC.,SAVE AMERICA,42250000,2024
