committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00762591,SAVE AMERICA,2022,30G,202307319584589608,23,SB23.3,1720280,PAC,POLITICAL ACTION COMMITTEE,C00825851,C00825851,MAKE AMERICA GREAT AGAIN INC.,MA,,,24Z,IN-KIND CONTRIBUTION MADE TO REGISTERED FILER,IN-KIND: PRODUCTION COST: DIGITAL AD,X,,2022-11-02 00:00:00,500.00,,,,,,,,,,,,,P,,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-08-02 03:36:24,,,,0.00,,,,,,,,,,,,Q,,D,F3X,4073120231758347317,BEVERLY,01915,OTHER,,2022,SB,4080120231759235015,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584589608,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00762591,SAVE AMERICA,2022,30G,202307319584589608,23,SB23.4,1720280,PAC,POLITICAL ACTION COMMITTEE,C00825851,C00825851,MAKE AMERICA GREAT AGAIN INC.,MA,,,24Z,IN-KIND CONTRIBUTION MADE TO REGISTERED FILER,IN-KIND: PRODUCTION COST: TEXT MESSAGE VIDEO AD,X,,2022-11-03 00:00:00,500.00,,,,,,,,,,,,,P,,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-08-02 03:36:24,,,,0.00,,,,,,,,,,,,Q,,D,F3X,4073120231758347317,BEVERLY,01915,OTHER,,2022,SB,4080120231759235016,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584589608,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00762591,SAVE AMERICA,2022,30G,202307319584589609,23,SB23.6,1720280,PAC,POLITICAL ACTION COMMITTEE,C00825851,C00825851,MAKE AMERICA GREAT AGAIN INC.,MA,,,24Z,IN-KIND CONTRIBUTION MADE TO REGISTERED FILER,IN-KIND: PRODUCTION COST: TEXT MESSAGE VIDEO AD,X,,2022-11-03 00:00:00,500.00,,,,,,,,,,,,,P,,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-08-02 03:36:24,,,,0.00,,,,,,,,,,,,Q,,D,F3X,4073120231758347317,BEVERLY,01915,OTHER,,2022,SB,4080120231759235018,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584589609,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00762591,SAVE AMERICA,2022,30G,202307319584589609,23,SB23.7,1720280,PAC,POLITICAL ACTION COMMITTEE,C00825851,C00825851,MAKE AMERICA GREAT AGAIN INC.,MA,,,24Z,IN-KIND CONTRIBUTION MADE TO REGISTERED FILER,IN-KIND: PRODUCTION COST: TEXT MESSAGE VIDEO AD,X,,2022-11-03 00:00:00,500.00,,,,,,,,,,,,,P,,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-08-02 03:36:24,,,,0.00,,,,,,,,,,,,Q,,D,F3X,4073120231758347317,BEVERLY,01915,OTHER,,2022,SB,4080120231759235019,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584589609,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00762591,SAVE AMERICA,2022,30G,202307319584589609,23,SB23.5,1720280,PAC,POLITICAL ACTION COMMITTEE,C00825851,C00825851,MAKE AMERICA GREAT AGAIN INC.,MA,,,24Z,IN-KIND CONTRIBUTION MADE TO REGISTERED FILER,IN-KIND: PRODUCTION COST: TEXT MESSAGE VIDEO AD,X,,2022-11-03 00:00:00,750.00,,,,,,,,,,,,,P,,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-08-02 03:36:24,,,,0.00,,,,,,,,,,,,Q,,D,F3X,4073120231758347317,BEVERLY,01915,OTHER,,2022,SB,4080120231759235017,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584589609,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00762591,SAVE AMERICA,2022,30G,202307319584589607,23,SB23.1,1720280,PAC,POLITICAL ACTION COMMITTEE,C00825851,C00825851,MAKE AMERICA GREAT AGAIN INC.,MA,,,24Z,IN-KIND CONTRIBUTION MADE TO REGISTERED FILER,IN-KIND: PRODUCTION COST: DIGITAL AD,X,,2022-11-02 00:00:00,1000.00,,,,,,,,,,,,,P,,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-08-02 03:36:24,,,,0.00,,,,,,,,,,,,Q,,D,F3X,4073120231758347317,BEVERLY,01915,OTHER,,2022,SB,4080120231759235013,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584589607,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00762591,SAVE AMERICA,2022,30G,202307319584589608,23,SB23.2,1720280,PAC,POLITICAL ACTION COMMITTEE,C00825851,C00825851,MAKE AMERICA GREAT AGAIN INC.,MA,,,24Z,IN-KIND CONTRIBUTION MADE TO REGISTERED FILER,IN-KIND: PRODUCTION COST: DIGITAL AD,X,,2022-11-02 00:00:00,1000.00,,,,,,,,,,,,,P,,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-08-02 03:36:24,,,,0.00,,,,,,,,,,,,Q,,D,F3X,4073120231758347317,BEVERLY,01915,OTHER,,2022,SB,4080120231759235014,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584589608,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00762591,SAVE AMERICA,2022,30G,202307319584589607,23,SB23.926929,1720280,CCM,CAMPAIGN COMMITTEE,C00459297,C00459297,HUIZENGA FOR CONGRESS,MI,HUIZENGA FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,FEDERAL CONTRIBUTION,,,2022-11-02 00:00:00,5000.00,H,HOUSE,04,H0MI02094,"HUIZENGA, WILLIAM P",WILLIAM,HUIZENGA,P,,,MI,MICHIGAN,G2022,,GENERAL,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-08-02 03:36:24,,,,0.00,,,,,,,,,,,,Q,,D,F3X,4073120231758347317,ZEELAND,49464,CONTRIBUTIONS,,2022,SB,4080120231759235011,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584589607,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00762591,SAVE AMERICA,2022,30G,202307319584589610,23,SB23.928317,1720280,PAC,POLITICAL ACTION COMMITTEE,C00630830,C00630830,PA PAC AKA PATRIOT ACTION,DC,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,FEDERAL CONTRIBUTION,,,2022-11-08 00:00:00,5000.00,,,,,,,,,,,,,P,,PRIMARY,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-08-02 03:36:24,,,,0.00,,,,,,,,,,,,Q,,D,F3X,4073120231758347317,WASHINGTON,20002,CONTRIBUTIONS,,2022,SB,4080120231759235020,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584589610,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00762591,SAVE AMERICA,2022,M7,202307319584811847,23,SB23.895463,1720283,CCM,CAMPAIGN COMMITTEE,C00412890,C00412890,ADRIAN SMITH FOR CONGRESS,NE,ADRIAN SMITH FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,FEDERAL CONTRIBUTION,,,2022-06-30 00:00:00,5000.00,H,HOUSE,03,H6NE03115,"SMITH, ADRIAN",ADRIAN,SMITH,,,,NE,NEBRASKA,G2022,,GENERAL,2022,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2023-08-03 03:36:15,,,,0.00,,,,,,,,,,,,Q,,D,F3X,4080120231758587003,SCOTTSBLUFF,69361,CONTRIBUTIONS,,2022,SB,4080220231760310445,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584811847,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
